url_len,host_len,path_len,n_dot,n_hyphen,n_us,n_slash,n_q,n_eq,n_at,n_amp,n_pct,n_dig,dig_ratio,n_spec,spec_ratio,has_ip,is_https,n_subdom,has_at,tld_len,longest_token,phishing
42,19,3,2,1,0,3,1,1,0,0,0,0,0.0,9,0.21428571428571427,0,0,1,0,3,8,1
55,24,23,2,3,0,4,0,0,0,0,0,0,0.0,10,0.18181818181818182,0,1,1,0,3,16,0
44,26,10,3,0,0,3,0,0,0,0,0,0,0.0,7,0.1590909090909091,0,1,1,0,3,18,1
54,18,28,4,1,0,4,0,0,0,0,0,0,0.0,10,0.18518518518518517,0,1,2,0,2,11,0
141,15,104,2,2,1,7,1,1,0,0,0,14,0.09929078014184398,15,0.10638297872340426,0,1,1,0,3,64,1
40,15,17,2,1,0,4,0,0,0,0,0,0,0.0,8,0.2,0,1,1,0,3,7,0
20,5,7,1,0,0,3,0,0,0,0,0,2,0.1,5,0.25,0,1,0,0,2,6,1
42,33,1,3,1,0,3,0,0,0,0,0,0,0.0,8,0.19047619047619047,0,1,2,0,2,13,1
133,11,39,8,1,1,6,1,3,0,0,0,23,0.17293233082706766,21,0.15789473684210525,0,1,0,0,3,32,1
51,15,28,3,0,0,6,0,0,0,0,0,2,0.0392156862745098,10,0.19607843137254902,0,1,1,0,3,7,0
22,13,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.2727272727272727,0,1,1,0,3,5,0
47,27,12,3,0,0,3,0,0,0,0,0,7,0.14893617021276595,7,0.14893617021276595,0,1,1,0,3,19,1
49,16,25,3,0,0,5,0,0,0,0,0,0,0.0,9,0.1836734693877551,0,1,1,0,3,8,0
46,13,25,2,1,0,5,0,0,0,0,0,0,0.0,9,0.1956521739130435,0,1,0,0,3,9,1
31,17,7,1,0,0,3,0,0,0,0,0,0,0.0,5,0.16129032258064516,0,0,0,0,2,14,1
31,22,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.1935483870967742,0,1,1,0,2,11,0
82,73,1,4,2,0,3,0,0,0,0,0,35,0.4268292682926829,10,0.12195121951219512,0,1,3,0,3,32,1
33,19,6,2,1,0,4,0,0,0,0,0,0,0.0,8,0.24242424242424243,0,1,1,0,2,6,0
74,29,38,3,0,0,6,0,0,0,0,0,5,0.06756756756756757,11,0.14864864864864866,0,0,1,0,3,15,1
26,17,1,2,0,0,3,0,0,0,0,0,0,0.0,6,0.23076923076923078,0,1,1,0,3,9,0
29,20,1,3,1,0,3,0,0,0,0,0,0,0.0,8,0.27586206896551724,0,1,2,0,2,5,0
